,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reg_lambda,param_reg_alpha,param_num_leaves,param_min_split_gain,param_min_child_weight,param_min_child_samples,param_max_depth,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,mean_test_score,std_test_score,rank_test_score
0,1.3582812656055798,0.033326549114229186,0.01287111369046298,0.002624636359972688,0.05,0.05,35,0.0,0.001,10,8,0.15,"{'reg_lambda': 0.05, 'reg_alpha': 0.05, 'num_leaves': 35, 'min_split_gain': 0.0, 'min_child_weight': 0.001, 'min_child_samples': 10, 'max_depth': 8, 'learning_rate': 0.15}",0.9514866979655713,0.977304964539007,0.7716390423572745,0.84375,0.9364957918898241,0.8893572181243414,0.97724399494311,0.9114441416893733,0.8967813540510543,0.8982456140350878,0.8223477715003139,0.8978269628268144,0.06164540347749744,99
1,1.5098759911277078,0.027779527492340694,0.013701243834062056,0.002943253762538469,0.05,5,31,0.0,0.0001,10,16,0.075,"{'reg_lambda': 0.05, 'reg_alpha': 5, 'num_leaves': 31, 'min_split_gain': 0.0, 'min_child_weight': 0.0001, 'min_child_samples': 10, 'max_depth': 16, 'learning_rate': 0.075}",0.9536321483771252,0.9772403982930299,0.7609302325581395,0.8485639686684073,0.9309815950920246,0.8825995807127882,0.9816339455351488,0.9018280297901151,0.9019607843137256,0.9013296011196641,0.816403785488959,0.8961003699953752,0.06437481856976475,230
2,1.41859431700273,0.05071944015664735,0.010385968468405983,0.002650124921381956,0.05,5,33,0.3,0.0001,30,16,0.01,"{'reg_lambda': 0.05, 'reg_alpha': 5, 'num_leaves': 33, 'min_split_gain': 0.3, 'min_child_weight': 0.0001, 'min_child_samples': 30, 'max_depth': 16, 'learning_rate': 0.01}",0.934250764525994,0.9442815249266863,0.7304015296367113,0.8361290322580646,0.9109062980030722,0.8200192492781521,0.9765674477517416,0.8728211749515817,0.8992576882290563,0.8788300835654596,0.7817509247842169,0.8713832470827941,0.07039995903532323,531
3,1.3630259253761985,0.02384704567181961,0.01394033432006836,0.0033665037709166667,0.5,0.5,35,0.05,0.01,20,8,0.1,"{'reg_lambda': 0.5, 'reg_alpha': 0.5, 'num_leaves': 35, 'min_split_gain': 0.05, 'min_child_weight': 0.01, 'min_child_samples': 20, 'max_depth': 8, 'learning_rate': 0.1}",0.9534161490683231,0.9743589743589743,0.7602230483271376,0.8418300653594771,0.935064935064935,0.8865546218487397,0.9784263959390863,0.9102040816326531,0.89760348583878,0.9000698812019566,0.8161209068010076,0.8958065950400972,0.06453825478202442,256
4,1.3329292860898105,0.025271139215410618,0.012212644923817028,0.0024194440780538674,0.05,0.5,35,0.05,0.0001,20,16,0.2,"{'reg_lambda': 0.05, 'reg_alpha': 0.5, 'num_leaves': 35, 'min_split_gain': 0.05, 'min_child_weight': 0.0001, 'min_child_samples': 20, 'max_depth': 16, 'learning_rate': 0.2}",0.958204334365325,0.9744318181818182,0.7636700648748841,0.85,0.935064935064935,0.8877118644067796,0.9746835443037976,0.912474155754652,0.8809788654060067,0.912232204561161,0.8216355441081777,0.8973715755479579,0.06303238646471096,138
5,1.4149327061393044,0.06338907572545154,0.01014210961081765,0.0021001060335465666,0.05,5,40,0.3,0.01,30,8,0.005,"{'reg_lambda': 0.05, 'reg_alpha': 5, 'num_leaves': 40, 'min_split_gain': 0.3, 'min_child_weight': 0.01, 'min_child_samples': 30, 'max_depth': 8, 'learning_rate': 0.005}",0.9326267978803936,0.9543147208121827,0.727447216890595,0.8354755784061697,0.8920187793427229,0.8344760039177277,0.9760705289672544,0.8752424046541694,0.903157894736842,0.8893442622950819,0.7661691542288558,0.8714857583756359,0.07248808630863839,530
6,1.1774385408921675,0.029535991466383235,0.010981559753417969,0.0023684297033942873,0.05,0.0,27,0.0,0.0001,20,16,0.2,"{'reg_lambda': 0.05, 'reg_alpha': 0.0, 'num_leaves': 27, 'min_split_gain': 0.0, 'min_child_weight': 0.0001, 'min_child_samples': 20, 'max_depth': 16, 'learning_rate': 0.2}",0.9545104086353123,0.9737774627923458,0.7641073080481037,0.8411458333333335,0.937116564417178,0.8846960167714885,0.9722222222222221,0.9094650205761318,0.8915929203539822,0.8937062937062936,0.815756035578145,0.8943723714940487,0.06333287643987048,346
7,1.3796938115900212,0.02952368565066886,0.013877261768687855,0.0029866882645085825,0.0,0.5,35,0.3,0.0001,10,8,0.1,"{'reg_lambda': 0.0, 'reg_alpha': 0.5, 'num_leaves': 35, 'min_split_gain': 0.3, 'min_child_weight': 0.0001, 'min_child_samples': 10, 'max_depth': 8, 'learning_rate': 0.1}",0.9510489510489512,0.9823071479122434,0.7595171773444753,0.8466579292267365,0.9359756097560976,0.8858638743455497,0.9733163913595934,0.9068660774983005,0.9069003285870756,0.9057920446615493,0.823529411764706,0.8979795403186618,0.0637906954848123,89
8,1.4476247050545432,0.046149238945809766,0.009897362102161755,0.002074531191572288,5,0.0,35,0.0,0.01,20,8,0.005,"{'reg_lambda': 5, 'reg_alpha': 0.0, 'num_leaves': 35, 'min_split_gain': 0.0, 'min_child_weight': 0.01, 'min_child_samples': 20, 'max_depth': 8, 'learning_rate': 0.005}",0.9361702127659574,0.9512727272727273,0.727447216890595,0.8387096774193549,0.8899297423887588,0.8328445747800587,0.9792060491493384,0.8640714741544352,0.9022082018927445,0.8813324080499652,0.773266708307308,0.8705871811882949,0.07169524595852961,540
9,1.5065242810682817,0.03829112696672853,0.013997381383722479,0.0030592541360092065,0.05,5,33,0.3,0.0001,10,12,0.075,"{'reg_lambda': 0.05, 'reg_alpha': 5, 'num_leaves': 33, 'min_split_gain': 0.3, 'min_child_weight': 0.0001, 'min_child_samples': 10, 'max_depth': 12, 'learning_rate': 0.075}",0.9519379844961241,0.9757834757834757,0.7670979667282809,0.8452535760728219,0.93394777265745,0.8837696335078534,0.9809644670050761,0.9046321525885558,0.9043478260869564,0.9028651292802237,0.8153749212350346,0.896906809585623,0.06337239078575191,170
