mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_importance_type,param_learning_rate,param_max_depth,param_n_estimators,param_reg_alpha,param_reg_lambda,param_tree_method,params,split0_test_F1,split1_test_F1,split2_test_F1,split3_test_F1,split4_test_F1,split5_test_F1,split6_test_F1,split7_test_F1,split8_test_F1,split9_test_F1,split10_test_F1,mean_test_F1,std_test_F1,rank_test_F1,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,split5_test_Accuracy,split6_test_Accuracy,split7_test_Accuracy,split8_test_Accuracy,split9_test_Accuracy,split10_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy
15.146499720486728,0.3362171561394906,0.0134319392117587,0.0036263186368262436,0,cover,1.0969754876501654e-05,6,39,0.75,0.1,exact,"{'gamma': 0, 'importance_type': 'cover', 'learning_rate': 1.0969754876501654e-05, 'max_depth': 6, 'n_estimators': 39, 'reg_alpha': 0.75, 'reg_lambda': 0.1, 'tree_method': 'exact'}",0.9812646370023419,0.9546247818499127,0.9004908522980813,0.9255989911727617,0.8048993875765528,0.8954970263381479,0.9860150607038574,0.9919647077359383,0.9565217391304349,0.9868490268279851,0.8149580915538364,0.9271531183808954,0.06397672526208263,54,0.9883509282854023,0.9754543308945008,0.9456495247379966,0.9570284049526584,0.8106960950764007,0.8987654320987655,0.9827094812844386,0.9913338997451147,0.9671931956257594,0.9827467218771566,0.862810707456979,0.9420671565486521,0.0566277305406802,53
8.841360070488669,0.5217980002503708,0.011101007461547852,0.00266383620500154,0.01,cover,0.001045714055707174,6,24,0.75,0.3,exact,"{'gamma': 0.01, 'importance_type': 'cover', 'learning_rate': 0.001045714055707174, 'max_depth': 6, 'n_estimators': 24, 'reg_alpha': 0.75, 'reg_lambda': 0.3, 'tree_method': 'exact'}",0.9818819403857394,0.9558759283529925,0.8993766696349066,0.9231415371692566,0.8007023705004389,0.8956743002544528,0.9861708666256914,0.9919621749408984,0.9589925734581854,0.9872042068361087,0.8205128205128205,0.9274086716974085,0.06414699212173723,51,0.9887149617764834,0.9761623790417748,0.9449183524250548,0.9555717407137655,0.8073005093378608,0.8987654320987655,0.9828994869846095,0.9913338997451147,0.9691373025516403,0.9832068092937658,0.8678298279158699,0.9423491547167913,0.05688597432034531,51
3.1616506576538086,0.09165049260120851,0.022513909773393112,0.007080114099664912,1,gain,0.23102217601971778,10,59,1,2,hist,"{'gamma': 1, 'importance_type': 'gain', 'learning_rate': 0.23102217601971778, 'max_depth': 10, 'n_estimators': 59, 'reg_alpha': 1, 'reg_lambda': 2, 'tree_method': 'hist'}",0.981042654028436,0.966858152894388,0.9196879302432308,0.931180968564146,0.8063102541630149,0.9026248941574936,0.9866133251269426,0.9869965112591184,0.9690251059667427,0.9901788846018941,0.847003682624707,0.935229305784556,0.059011457804125124,5,0.9883509282854023,0.9822987963181496,0.9573482817450646,0.9606700655498908,0.8123938879456706,0.9053497942386831,0.9834695040851226,0.9860662701784197,0.976913730255164,0.9871175523349437,0.890774378585086,0.9482502899565087,0.05360459567042661,5
1.6161986264315518,0.05499850304787059,0.015833269466053356,0.0045522877848886475,0.25,cover,0.0003781220664624447,6,49,1,0.1,hist,"{'gamma': 0.25, 'importance_type': 'cover', 'learning_rate': 0.0003781220664624447, 'max_depth': 6, 'n_estimators': 49, 'reg_alpha': 1, 'reg_lambda': 0.1, 'tree_method': 'hist'}",0.9789473684210526,0.9550806803314434,0.9044414535666219,0.9247583018074821,0.8021108179419525,0.8964346349745331,0.9841562836486695,0.9919571045576407,0.9578642650369893,0.9877365101611773,0.8132433301189327,0.9269755227787723,0.06438582729693249,56,0.9868947943210775,0.9756903469435921,0.9480867657811357,0.9565428502063608,0.8089983022071308,0.8995884773662551,0.9804294128823865,0.9913338997451147,0.9681652490886998,0.9838969404186796,0.8611376673040153,0.9418877005694952,0.057029912050310806,56
1.0293313589963047,0.03726102804159099,0.011193904009732332,0.002732766559866466,0.05,weight,6.290114324697387e-05,7,20,1.25,0.6,hist,"{'gamma': 0.05, 'importance_type': 'weight', 'learning_rate': 6.290114324697387e-05, 'max_depth': 7, 'n_estimators': 20, 'reg_alpha': 1.25, 'reg_lambda': 0.6, 'tree_method': 'hist'}",0.982991202346041,0.9567496723460026,0.912375790424571,0.929054054054054,0.814236111111111,0.8932203389830508,0.9870967741935484,0.9921235034656585,0.9631067961165048,0.9893337996153174,0.8227642276422764,0.9311865700271033,0.06165084676943571,23,0.9894430287586458,0.9766344111399575,0.9527175237631001,0.9592134013109979,0.8183361629881154,0.8962962962962963,0.9840395211856355,0.9915038232795242,0.9722964763061969,0.9859673337934207,0.8697418738049714,0.9451081684206237,0.055125513635296004,25
0.8311094370755282,0.09061582716106893,0.00976651365106756,0.003066859234070113,0.01,weight,2.574806354006811e-05,6,20,4,1,hist,"{'gamma': 0.01, 'importance_type': 'weight', 'learning_rate': 2.574806354006811e-05, 'max_depth': 6, 'n_estimators': 20, 'reg_alpha': 4, 'reg_lambda': 1, 'tree_method': 'hist'}",0.9812426729191089,0.9550806803314434,0.9074573225516622,0.9306846999154692,0.7925531914893615,0.898477157360406,0.9838087895142636,0.9918058619602901,0.9550994227068634,0.984965034965035,0.8187702265372168,0.9272677327501018,0.0648811772814639,53,0.9883509282854023,0.9756903469435921,0.9497928345113331,0.9601845108035931,0.801358234295416,0.9012345679012346,0.9800494014820444,0.9911639762107052,0.9659781287970839,0.9802162410858063,0.8661567877629063,0.9418341780071924,0.05781550207119545,57
6.932652538472956,0.23656557251399388,0.015803878957575016,0.0033619383066816983,0,weight,0.028843914601105067,10,40,2,0.1,gpu_hist,"{'gamma': 0, 'importance_type': 'weight', 'learning_rate': 0.028843914601105067, 'max_depth': 10, 'n_estimators': 40, 'reg_alpha': 2, 'reg_lambda': 0.1, 'tree_method': 'gpu_hist'}",0.97510133178923,0.950065132435953,0.9127091813658978,0.9013157894736842,0.7481617647058824,0.8886986301369864,0.9858592068859515,0.9907013396375098,0.9627711233408871,0.990899544977249,0.8093559756488306,0.9196035473089149,0.07584858110227581,75,0.9843465598835093,0.9728581543544961,0.9529612478674141,0.9417334304442826,0.767402376910017,0.8930041152263375,0.9825194755842676,0.9899745114698386,0.9720534629404617,0.988037727168162,0.857791586998088,0.936607513531534,0.06707381074639673,75
1.6508079442110928,0.05747276001424649,0.015449610623446379,0.004357901182380621,0,gain,0.0007339923766566089,7,43,1,0.3,hist,"{'gamma': 0, 'importance_type': 'gain', 'learning_rate': 0.0007339923766566089, 'max_depth': 7, 'n_estimators': 43, 'reg_alpha': 1, 'reg_lambda': 0.3, 'tree_method': 'hist'}",0.9830310122878877,0.9567496723460026,0.9119638826185102,0.920368818105616,0.8038528896672505,0.8956743002544528,0.98678955453149,0.9919672389352653,0.9650259067357512,0.9879518072289157,0.8206627680311891,0.929457986431121,0.0637030458639652,42,0.9894430287586458,0.9766344111399575,0.9524737996587862,0.9538722991017237,0.8098471986417657,0.8987654320987655,0.9836595097852936,0.9913338997451147,0.9737545565006075,0.9841269841269841,0.8680688336520076,0.9438163593826956,0.05674226883532855,42
41.63683551008051,1.3481580107231148,0.02780925143848766,0.008979758378920528,0.6,cover,4.99621224446067e-05,8,90,1,0,exact,"{'gamma': 0.6, 'importance_type': 'cover', 'learning_rate': 4.99621224446067e-05, 'max_depth': 8, 'n_estimators': 90, 'reg_alpha': 1, 'reg_lambda': 0, 'tree_method': 'exact'}",0.9836257309941521,0.9567496723460026,0.9135355364418288,0.915282392026578,0.8083989501312336,0.8917306052855924,0.9869451697127938,0.9919647077359383,0.966818477553676,0.9917846530326866,0.8203962325430335,0.9297483752548651,0.06367382994232873,37,0.9898070622497269,0.9766344111399575,0.9534486960760419,0.9504734158776402,0.8140916808149405,0.8954732510288066,0.9838495154854645,0.9913338997451147,0.9752126366950182,0.9891879457096848,0.8678298279158699,0.9443038493398422,0.0565452611111262,38
27.062878110192038,0.5449501718319358,0.017552722584117542,0.004971301022991906,1,cover,1.8718234528877468e-05,10,46,1,0.1,approx,"{'gamma': 1, 'importance_type': 'cover', 'learning_rate': 1.8718234528877468e-05, 'max_depth': 10, 'n_estimators': 46, 'reg_alpha': 1, 'reg_lambda': 0.1, 'tree_method': 'approx'}",0.9823529411764707,0.9583516001753617,0.907936507936508,0.9163545568039949,0.8388746803069055,0.895093062605753,0.9861878453038674,0.9879708768597658,0.9506726457399103,0.9907131592780796,0.8226120857699805,0.9306472692687816,0.05712717531732136,28,0.9890789952675646,0.9775784753363229,0.950524006824275,0.9512017479970867,0.8395585738539898,0.8979423868312757,0.9828994869846095,0.9870858113848768,0.9625759416767922,0.9878076834598574,0.8695028680688337,0.9450687252441349,0.049958498786692486,27
