,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,mean_test_score,std_test_score,rank_test_score
0,24.309402434031167,0.732190099897313,0.03852391242980957,0.007572847577301516,gini,4,1,1000,94,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 1, 'min_samples_split': 1000, 'n_estimators': 94}",0.838672102504368,0.6706958004029133,0.8465266558966074,0.5724455611390284,0.6602382302892796,0.5013192612137203,0.7034178610804851,0.7520613614573346,0.823425803610744,0.8697007481296757,0.6412776412776413,0.5289367429340511,0.8210874357090374,0.46633320507887654,0.6334277620396601,0.688637744850895,0.12912704336702444,22
1,8.326506900787354,0.1924953336697331,0.016611337661743164,0.003043490819267744,gini,4,1,50,32,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 1, 'min_samples_split': 50, 'n_estimators': 32}",0.8419811320754718,0.6707863432720531,0.8463557439935393,0.571667363142499,0.6438053097345133,0.5105263157894737,0.7044208987943001,0.7602766039185554,0.8028802880288028,0.8889610389610391,0.6423718344657197,0.50062893081761,0.8110221560230868,0.4687246141348497,0.7156517362858581,0.6920040206291581,0.13065805346482806,21
2,15.22822249730428,0.42028745806648987,0.019628477096557618,0.003917813870152201,gini,10,32,100,30,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 32, 'min_samples_split': 100, 'n_estimators': 30}",0.8943937418513689,0.8599229677680924,0.9030721600381043,0.70974411992763,0.8244491826581377,0.7624161073825504,0.7738376674546887,0.8667324777887463,0.9051651143099068,0.916451969083548,0.8349344978165938,0.6536731634182908,0.8169014084507042,0.6764346764346764,0.5636856368563686,0.7974543260826271,0.10229792444402161,11
3,13.657479174931844,0.3561554412708632,0.019324207305908205,0.00362571427264268,gini,7,4,50,34,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 4, 'min_samples_split': 50, 'n_estimators': 34}",0.8690176322418136,0.7611408199643493,0.9031821259309412,0.6499408284023668,0.7785953177257525,0.7198986058301647,0.7519818799546999,0.8491725768321513,0.8823779193205944,0.8972162740899358,0.7960526315789475,0.6187766714082503,0.8344320964400075,0.6367157242447714,0.5306465155331653,0.7652765079665275,0.11028546704746774,17
4,20.011938444773357,0.6823255675794843,0.02242269515991211,0.004060033211436198,entropy,4,1,50,50,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_leaf': 1, 'min_samples_split': 50, 'n_estimators': 50}",0.8400460299194478,0.6615783849793925,0.826987571513119,0.5729797452495302,0.6339869281045752,0.489822718319107,0.7,0.7527703477264043,0.8315193730953417,0.8667496886674969,0.6311970979443773,0.5042791310072416,0.8198529411764707,0.42749901224812326,0.6996536368134588,0.6839281737842724,0.13602852845918087,24
5,1.257534138361613,0.04636809908751126,0.006721798578898112,0.000875404517580812,gini,4,32,20,5,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 32, 'min_samples_split': 20, 'n_estimators': 5}",0.8255528255528256,0.6692498450092994,0.31162196679438053,0.5717943247279709,0.6936829558998808,0.6429010448678548,0.7031082529474811,0.7733231996959908,0.8440207972270363,0.8527131782945736,0.6229116945107399,0.5639686684073107,0.8308090136682674,0.4688700999231361,0.5385159010600706,0.6608695845724545,0.14940351650010372,25
6,73.21649788220724,2.6110797931707364,0.047405370076497394,0.009795265260001873,entropy,13,32,1000,92,"{'criterion': 'entropy', 'max_depth': 13, 'min_samples_leaf': 32, 'min_samples_split': 1000, 'n_estimators': 92}",0.896551724137931,0.8834870075440068,0.8791370433929884,0.7225738396624474,0.8594674556213018,0.7411924119241193,0.7490729295426453,0.8486075949367088,0.8844483058210253,0.9203276247207745,0.846911369740376,0.654462242562929,0.8250049771053156,0.6669538991813873,0.564240790655885,0.7961626144366559,0.10301487855659765,14
7,6.39687975247701,0.1433827719872954,0.011309210459391277,0.0018917352158888602,gini,13,32,20,11,"{'criterion': 'gini', 'max_depth': 13, 'min_samples_leaf': 32, 'min_samples_split': 20, 'n_estimators': 11}",0.9037328094302554,0.8905723905723906,0.8811050814010853,0.7611650485436894,0.8177905308464849,0.7631754503002002,0.7799841143764893,0.8662834291427144,0.9105485232067511,0.9077269317329332,0.8466367713004486,0.6605222734254993,0.791427965202631,0.6976160602258469,0.5602901178603809,0.8025718331711867,0.09895769349839058,5
8,42.348022588094075,1.1930739066744995,0.028730010986328124,0.006302069705473239,entropy,,1,100,40,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 100, 'n_estimators': 40}",0.9151636606546427,0.9037421587713607,0.8447653429602888,0.7857757384571264,0.8449669360764145,0.7875927174645988,0.7889983579638752,0.833940655908381,0.922170803533866,0.9076457229371687,0.8830682881197381,0.6765393608729541,0.7954884017876145,0.7847512784751278,0.5690298507462687,0.816242618315295,0.09236856065931574,1
9,26.858405923843385,1.0232763817117014,0.030757029851277668,0.006378940052133888,gini,10,4,20,53,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 20, 'n_estimators': 53}",0.8913183279742766,0.8720049150112636,0.8900144717800289,0.7031449757095373,0.825531914893617,0.7755644090305446,0.7716289945440374,0.8742955158049498,0.9108413562159898,0.9127218934911242,0.8553682342502218,0.6527259148618372,0.8317683881064163,0.6725806451612903,0.5641952983725135,0.8002470170138432,0.10365846279317038,6
