mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_boosting_type,param_learning_rate,param_max_depth,param_n_estimators,param_num_leaves,params,split0_test_F1,split1_test_F1,split2_test_F1,split3_test_F1,split4_test_F1,split5_test_F1,split6_test_F1,split7_test_F1,split8_test_F1,split9_test_F1,split10_test_F1,mean_test_F1,std_test_F1,rank_test_F1,split0_test_Precision,split1_test_Precision,split2_test_Precision,split3_test_Precision,split4_test_Precision,split5_test_Precision,split6_test_Precision,split7_test_Precision,split8_test_Precision,split9_test_Precision,split10_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision
3.2993340492248535,0.10006157632231906,0.035299582914872604,0.00928254681217492,goss,0.3,14,125,29,"{'boosting_type': 'goss', 'learning_rate': 0.3, 'max_depth': 14, 'n_estimators': 125, 'num_leaves': 29}",0.984070796460177,0.9698314108251996,0.9385474860335196,0.9444683598794662,0.8628428927680798,0.8855218855218855,0.9865278628291487,0.9873257287705957,0.9710380735437683,0.9898636840265642,0.83659264169705,0.941511892941405,0.05248165195239119,18,0.9788732394366197,0.9430543572044866,0.9197080291970803,0.9006568144499179,0.9737335834896811,0.9651376146788991,0.9923005851555282,0.9993585631815266,0.9588688946015425,0.9902097902097902,0.7207310108509423,0.9402393165869103,0.07535616675618075,35
0.8897642439061945,0.033606230350511794,0.012475707314231178,0.002657100290585995,dart,0.1,-1,10,39,"{'boosting_type': 'dart', 'learning_rate': 0.1, 'max_depth': -1, 'n_estimators': 10, 'num_leaves': 39}",0.9811542991755007,0.9595782073813709,0.91670459717797,0.9104539775093711,0.8069868995633187,0.8905852417302799,0.9831919814957594,0.9872098531501659,0.9654947916666666,0.9872265966754156,0.828740157480315,0.9288478730005576,0.06150555451311351,97,0.9742690058479532,0.9246401354784082,0.879475982532751,0.8433641975308642,0.9726315789473684,0.9794776119402985,0.99625,0.9958585536795158,0.9536977491961415,0.9887837364178058,0.7087542087542088,0.9288366145750288,0.08420253280720683,97
2.8472492044622246,0.07062297637229638,0.024581519040194424,0.006550220116058159,gbdt,0.1,14,75,29,"{'boosting_type': 'gbdt', 'learning_rate': 0.1, 'max_depth': 14, 'n_estimators': 75, 'num_leaves': 29}",0.9893867924528302,0.9621145374449339,0.9280442804428044,0.9438491213030432,0.8508845829823083,0.8697152717860225,0.9835257890685142,0.9905243209096652,0.9745098039215686,0.991450008724481,0.8353759523020867,0.9381254964852963,0.05653650052789234,38,0.9835873388042204,0.9293617021276596,0.9014336917562724,0.8965798045602605,0.97678916827853,0.9767441860465116,0.9950155763239875,0.9993626513702996,0.966299416720674,0.9902405019170443,0.7193382772390188,0.9395229377404071,0.07777869472725006,37
1.2677821462804622,0.03195239818013774,0.014224897731434216,0.0032281623189875223,dart,0.2,7,20,44,"{'boosting_type': 'dart', 'learning_rate': 0.2, 'max_depth': 7, 'n_estimators': 20, 'num_leaves': 44}",0.9853200234879624,0.9604221635883905,0.9158708503865393,0.9258635214827297,0.8367346938775511,0.8849104859335039,0.9858417974761465,0.9908430691506158,0.9642857142857143,0.9923050017488632,0.8303747534516767,0.9338883704426993,0.057659283647724935,55,0.9755813953488373,0.926208651399491,0.8779424585876199,0.8660362490149724,0.9723320158102767,0.9792452830188679,0.9968876439464674,0.9993630573248408,0.9500959692898272,0.9933473389355743,0.7111486486486487,0.9316535192114024,0.08239497282606281,77
0.5590471137653698,0.013208085795192157,0.0,0.0,rf,0.1,7,10,33,"{'boosting_type': 'rf', 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 10, 'num_leaves': 33}",,,,,,,,,,,,,,148,,,,,,,,,,,,,,152
0.9112003283067183,0.02190309166701584,0.01250722191550515,0.002848101831490912,goss,0.1,-1,10,34,"{'boosting_type': 'goss', 'learning_rate': 0.1, 'max_depth': -1, 'n_estimators': 10, 'num_leaves': 34}",0.9823529411764707,0.9562171628721541,0.9153776160145587,0.9158643784010048,0.8101045296167247,0.891156462585034,0.9835054724834283,0.9881422924901185,0.965472312703583,0.9884575026232949,0.812720848056537,0.9281246835475372,0.06350389043316478,106,0.9743290548424738,0.9184188393608074,0.8778359511343804,0.8520249221183801,0.9728033472803347,0.9831144465290806,0.9962523422860712,0.9980836793356755,0.9542820347714102,0.9894957983193278,0.6848944233892799,0.9274122581242928,0.08980325505147457,113
0.8304621739821001,0.025910088453197744,0.012980114329944958,0.0029945192984025997,dart,0.01,7,10,27,"{'boosting_type': 'dart', 'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 10, 'num_leaves': 27}",0.9760191846522782,0.963458110516934,0.9327102803738317,0.9683459652251448,0.558288770053476,0.0,0.0,0.9857594936708861,0.9798213695004963,0.0,0.8354515050167224,0.6545322435463428,0.41750422776822377,130,0.9866666666666667,0.9408181026979983,0.9172794117647058,0.9543057996485061,0.9849056603773585,0.0,0.0,0.9964811260396673,0.9833997343957503,0.0,0.724477958236659,0.6807576781661192,0.4229729043265929,130
3.0354027531363745,0.0710706031933559,0.030713883313265713,0.00968039574202107,goss,0.1,-1,100,27,"{'boosting_type': 'goss', 'learning_rate': 0.1, 'max_depth': -1, 'n_estimators': 100, 'num_leaves': 27}",0.9875959834613114,0.9646954986760813,0.9319129226493749,0.9487289961223611,0.8585774058577404,0.8755364806866953,0.9847856154910096,0.9906807771284157,0.97484482195361,0.9910979228486646,0.837640821736249,0.9405542951465012,0.054502292871954246,25,0.9835294117647059,0.9333902647309992,0.9087624209575429,0.9054276315789473,0.9771428571428571,0.9770114942528736,0.994413407821229,0.999681224099458,0.966321243523316,0.9902336937565399,0.7214611872146118,0.9415795306220982,0.07647319420538243,25
0.8882105133750222,0.03231351089344408,0.012259830128062855,0.0027789986764264513,goss,0.01,21,10,33,"{'boosting_type': 'goss', 'learning_rate': 0.01, 'max_depth': 21, 'n_estimators': 10, 'num_leaves': 33}",0.9718394248052726,0.9638876504681231,0.9301675977653631,0.968944099378882,0.6147540983606556,0.0,0.9466602594906295,0.982489652976759,0.9759472817133443,0.9509447674418604,0.8346140995656532,0.8309317210878675,0.28210520779779774,126,0.9818401937046005,0.9416376306620209,0.9114963503649635,0.9503916449086162,0.9803921568627451,0.0,0.9989858012170385,0.9993523316062176,0.9756258234519104,0.9905374716124148,0.7232194557035322,0.8594071690994599,0.28192150256910875,127
0.8896690715443004,0.031103298256828452,0.012070417404174805,0.0024319112254795536,goss,0.1,21,10,31,"{'boosting_type': 'goss', 'learning_rate': 0.1, 'max_depth': 21, 'n_estimators': 10, 'num_leaves': 31}",0.9829712272460365,0.9562171628721541,0.9128856624319419,0.9120466861192164,0.8108108108108109,0.8885106382978724,0.9828941285251965,0.9911894273127754,0.9671116900032563,0.9868904037755637,0.8246816846229187,0.9287463201834311,0.0619870453200777,100,0.9732558139534884,0.9184188393608074,0.8732638888888888,0.8454404945904173,0.9748427672955975,0.981203007518797,0.9953183520599251,0.9962049335863378,0.9555984555984556,0.9874081846799581,0.7028380634390651,0.9276175273610672,0.08588987408362396,109
