,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,mean_test_score,std_test_score,rank_test_score
0,40.69082899527116,1.1757577307715619,0.029985796321522106,0.006470266789598529,entropy,10,16,500,71,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 16, 'min_samples_split': 500, 'n_estimators': 71}",0.9779326364692218,0.9509335649153279,0.9081129538323621,0.9414780008543358,0.8288907996560619,0.8856405846947549,0.9769972023624495,0.9927513394264103,0.9658758531036724,0.9933473389355743,0.8158658497258948,0.9307114658160061,0.06030591200317133,57
1,34.38711233572526,0.9733936503439875,0.03654893961819736,0.00777938182188051,gini,13,4,10,76,"{'criterion': 'gini', 'max_depth': 13, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 76}",0.9847775175644028,0.9617582417582419,0.9220956719817768,0.9411764705882354,0.8447837150127228,0.893071000855432,0.9856768827968582,0.9925879198864532,0.9700325732899022,0.9956270771383594,0.8274959083469721,0.9380984526563051,0.05683665441718257,12
2,40.40262709964406,1.187155342554016,0.03323431448502974,0.0064025491035640935,entropy,7,32,50,87,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_leaf': 32, 'min_samples_split': 50, 'n_estimators': 87}",0.9739733950260265,0.9505208333333334,0.9023629068212216,0.940374787052811,0.8261617900172117,0.8875536480686697,0.9809568044588945,0.9927536231884058,0.9634185820653934,0.9933543196922,0.8106376161486702,0.9292789368975307,0.0615829963713682,64
3,3.831910090012984,0.08947917203214852,0.01075413010337136,0.0017259696249882234,gini,4,2,1000,22,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 2, 'min_samples_split': 1000, 'n_estimators': 22}",0.9639794168096055,0.9488734835355287,0.8645877829987185,0.9380305602716468,0.7200754005655041,0.9453952730236348,0.9782541161851506,0.9925879198864532,0.9460580912863071,0.9949238578680203,0.7714808043875685,0.9149315188016488,0.08713039920115447,81
4,17.29841789332303,0.4411216953775708,0.021093888716264206,0.004370831053620699,gini,10,2,500,47,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 500, 'n_estimators': 47}",0.9785008715862871,0.9538327526132405,0.9074573225516622,0.9468267581475128,0.8232235701906413,0.8869715271786023,0.9833127317676144,0.9930664985817838,0.96742671009772,0.9942196531791907,0.8169195996125282,0.9319779995915258,0.06183040949011983,48
5,3.117833224209872,0.09618454959611245,0.007419261065396396,0.0010014977567832945,gini,13,1,500,7,"{'criterion': 'gini', 'max_depth': 13, 'min_samples_leaf': 1, 'min_samples_split': 500, 'n_estimators': 7}",0.9807804309842749,0.9550806803314434,0.8975044563279858,0.9474590869939707,0.8224137931034483,0.8970212765957447,0.9841024849513813,0.9916364210194099,0.9660795825179387,0.9912157413914267,0.8135265700483091,0.9315291385695758,0.062192100054344515,50
6,24.113653096285734,0.7149368899534814,0.0279709209095348,0.005721328580540056,entropy,4,1,2,84,"{'criterion': 'entropy', 'max_depth': 4, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 84}",0.9584991472427515,0.9335038363171356,0.8566581849024597,0.9181553801412546,0.7152317880794702,0.9323432343234324,0.9769828926905132,0.9935402552386954,0.9421069281872825,0.9947534102833158,0.7839009287925697,0.9096069078362619,0.08518924768742482,89
7,20.520567872307517,0.7044109475289007,0.027936588634144176,0.005448811641450945,gini,7,4,2,72,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 72}",0.9773913043478261,0.950477845351868,0.9006681514476614,0.9423815620998719,0.8319039451114922,0.8913601368691189,0.9836419753086421,0.9929078014184397,0.9652935452481349,0.9945794719356531,0.8111574222507214,0.9310693783081301,0.06116801589028012,53
8,13.09333924813704,0.45034253675243807,0.015901934016834606,0.0030141646772259344,gini,16,1,20,25,"{'criterion': 'gini', 'max_depth': 16, 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 25}",0.988830099941211,0.9656084656084656,0.9297197978870004,0.9366765830854229,0.8481764206955047,0.8954970263381479,0.9844543635524088,0.9921110760492269,0.97098141506358,0.9956316617158832,0.8401462279827184,0.9407121034472335,0.054172004292414956,2
9,7.299012726003474,0.18865341408383313,0.01603310758417303,0.0028953369467415095,gini,4,8,20,41,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 8, 'min_samples_split': 20, 'n_estimators': 41}",0.9634285714285715,0.9435588108573891,0.8619067977768278,0.9372349448685326,0.6809338521400778,0.920767306088407,0.9540467482906663,0.9930686830497795,0.9426670890085525,0.9951066060817896,0.7793167128347184,0.9065487384023011,0.09230415771297822,99
10,10.675175406716086,0.39075928991809145,0.011964689601551403,0.002121667844763524,entropy,7,4,500,23,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_leaf': 4, 'min_samples_split': 500, 'n_estimators': 23}",0.9740034662045061,0.9431524547803617,0.8932210899424015,0.9383765405864853,0.8201563857515204,0.896845694799659,0.9836268149521161,0.9930664985817838,0.9627711233408871,0.9931734640294066,0.8093410108765194,0.9279758676223316,0.0626161098497215,70
