Partition Line;********************
Full Name;ACH, Test 
Gender;Male
Age;
Birthdate;
Subject Number;
Medical Record;
Test Time;3/5/2020 2:28:26 PM
Reference;
Memo;

Time (sec.);X (sensor number);Y (sensor number);Level
39.0167;28;29;2
39.0167;24;31;4
39.0167;24;32;2
39.0167;23;29;3
39.0250;28;26;1
39.0250;28;27;3
39.0250;27;27;4
39.0250;28;29;3
39.0250;28;31;3
39.0250;24;32;1
39.0250;23;31;1
39.0333;28;26;3
39.0333;25;26;2
39.0333;26;26;3
39.0333;27;26;4
39.0333;28;28;4
39.0333;27;28;5
39.0333;27;29;4
39.0333;28;30;4
39.0333;23;27;1
39.0333;23;30;2
39.0333;23;31;0
39.0417;28;26;4
39.0417;29;26;1
39.0417;28;27;4
39.0417;29;27;2
39.0417;29;28;2
39.0417;29;29;2
39.0417;25;32;3
39.0417;26;32;3
39.0417;23;28;2
39.0500;29;26;3
39.0500;26;26;4
39.0500;25;27;5
39.0500;29;27;3
39.0500;29;28;3
39.0500;28;29;4
39.0500;29;29;3
39.0500;29;30;1
39.0500;24;32;0
39.0583;29;30;2
39.0583;24;31;3
39.0583;23;27;0
39.0583;23;30;1
39.0667;29;26;4
39.0667;29;27;4
39.0667;29;29;4
39.0667;23;29;2
39.0750;33;24;1
39.0750;30;26;1
39.0750;27;26;5
39.0750;25;27;4
39.0750;30;27;2
39.0750;27;27;5
39.0750;29;28;4
39.0750;23;28;1
39.0833;33;24;2
39.0833;34;24;1
39.0833;34;25;1
39.0833;30;26;2
39.0833;30;28;1
39.0917;34;24;2
39.0917;35;24;1
39.0917;33;25;1
39.0917;34;25;2
39.0917;35;25;2
39.0917;30;27;3
39.0917;27;27;4
39.0917;30;28;2
39.0917;30;29;1
39.0917;29;30;3
39.0917;28;31;4
39.0917;26;32;4
39.0917;23;29;1
39.0917;23;30;0
39.1000;35;24;2
39.1000;24;27;3
39.1000;27;27;5
39.1000;30;29;2
39.1000;24;30;3
39.1000;29;31;1
39.1000;23;28;0
39.1083;36;25;2
39.1083;33;25;2
39.1083;26;26;3
39.1083;27;26;4
39.1083;30;28;3
39.1083;25;29;4
39.1083;27;32;3
39.1083;23;29;0
39.1167;36;24;1
39.1167;35;25;3
39.1167;36;26;1
39.1167;35;26;1
39.1167;30;26;3
39.1167;24;28;3
39.1167;28;28;5
39.1167;24;29;3
39.1167;30;29;3
39.1167;29;31;2
39.1250;36;24;2
39.1250;37;25;1
39.1250;36;26;2
39.1250;37;26;1
39.1250;25;26;1
39.1250;25;30;4
39.1250;26;32;3
39.1333;36;25;3
39.1333;37;25;2
39.1333;36;27;1
39.1333;35;23;1
39.1333;24;27;2
39.1333;27;27;4
39.1333;24;31;2
39.1333;27;32;2
39.1417;36;24;3
39.1417;37;24;1
39.1417;35;24;3
39.1417;37;27;1
39.1417;28;28;4
39.1417;25;32;2
39.1500;37;24;2
39.1500;38;26;1
39.1500;36;23;1
39.1500;35;23;2
39.1500;24;28;2
39.1500;24;30;2
39.1500;28;31;3
39.1500;25;31;3
39.1500;27;32;1
39.1583;33;24;3
39.1583;38;25;1
39.1583;37;26;2
39.1583;36;23;2
39.1583;25;27;3
39.1583;25;28;3
39.1583;26;28;4
39.1583;27;28;4
39.1583;24;29;2
39.1583;27;29;3
39.1583;24;31;1
39.1583;29;31;1
39.1583;25;32;1
39.1667;37;24;3
39.1667;37;25;3
39.1667;37;27;2
39.1667;24;27;1
39.1667;24;29;3
39.1667;26;30;4
39.1667;24;31;0
39.1667;26;32;2
39.1750;32;24;1
39.1750;38;25;2
39.1750;38;26;2
39.1750;38;27;1
39.1750;37;23;1
39.1750;34;23;1
39.1750;26;26;2
39.1750;26;27;4
39.1750;24;28;1
39.1750;24;29;2
39.1750;27;30;4
39.1750;27;31;2
39.1833;34;24;3
39.1833;38;24;1
